Toko,Platform,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Pembayaran,Wilayah Toko,Kategori iPhone
Kino Phone Cell,Shopee,iPhone 12 Series,iPhone 12 Pro Max,51GB,90.0,Rp5.092.000,"VA, E-Wallet",Jakarta Pusat,Inter
ZYPHONE,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,,Rp5.200.000,"VA, E-Wallet",Tangerang,Resmi
Prime_Phone_Store,Shopee,iPhone 12 Series,iPhone 12 Pro Max,256GB,,Rp5.762.800,"VA, E-Wallet",Jakarta Barat,Resmi
iPlanet.IND,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,,Rp5.779.000,"VA, E-Wallet",Jakarta Barat,Resmi
Pusat HP Indonesia_Mall,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,,Rp5.779.000,"VA, E-Wallet",Jakarta Barat,Resmi
BestDeal_Mall.ID,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,,Rp5.779.000,"VA, E-Wallet",Jakarta Barat,Resmi
VertexTech.mall,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,,Rp5.789.000,"VA, E-Wallet",Jakarta Barat,Resmi
iStore Jakarta,Shopee,iPhone 12 Series,iPhone 12 Pro Max,128GB,,Rp5.789.000,"VA, E-Wallet",Jakarta Barat,Resmi
AMANAH_ST0RE,Shopee,iPhone 13 Series,iPhone 13,128GB,,0,"VA, E-Wallet",Jakarta Pusat,Resmi
Blizt smart store,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp1.288.000,"VA, E-Wallet",Jakarta Utara,Resmi
Q7 STORE,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp2.450.000,"VA, E-Wallet",Jakarta Utara,Inter
AlohaTTSir HP.ID,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp3.149.500,"VA, E-Wallet",Jakarta Utara,Resmi
iStorePlus,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp3.158.999,"VA, E-Wallet",Jakarta Utara,Resmi
iCell Mart,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp3.165.000,"COD, VA, E-Wallet",Jakarta Utara,Resmi
iCenter Asli,Shopee,iPhone 13 Series,iPhone 13,128GB,90.0,Rp3.170.000,"VA, E-Wallet",Jakarta Utara,Resmi
TiMii Resmi Store,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp3.200.000,"VA, E-Wallet",Jakarta Utara,Resmi
iSymphony835,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp3.200.000,"VA, E-Wallet",Kab. Tangerang,Inter
gloria.gadget8,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp3.200.000,"VA, E-Wallet",Kab. Tangerang,Resmi
techno_pixel,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp3.200.000,"VA, E-Wallet",Kab. Tangerang,Inter
GudangGadget08,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp3.260.000,"VA, E-Wallet",Kab. Tangerang,Resmi
Smart gadget 01,Shopee,iPhone 13 Series,iPhone 13,128GB,95.0,Rp3.290.000,"VA, E-Wallet",Jakarta Barat,Resmi
GoPhone ID,Shopee,iPhone 13 Series,iPhone 13,128GB,90.0,Rp3.299.000,"VA, E-Wallet",Jakarta Barat,Resmi
T4 Store,Shopee,iPhone 13 Series,iPhone 13,128GB,,Rp3.299.000,"VA, E-Wallet",Jakarta Utara,Resmi
